latitude,longitude,temperature_anomaly
47.25,-87.5,6.130126953125
47.25,-87.25,6.317230224609375
47.25,-87.0,6.52142333984375
47.25,-86.75,6.546234130859375
47.25,-86.5,6.475067138671875
47.25,-86.25,6.4320068359375
47.25,-86.0,6.41131591796875
47.25,-85.75,6.453369140625
47.25,-85.5,6.396148681640625
47.25,-85.25,6.048828125
47.25,-85.0,5.473846435546875
47.25,-84.75,6.47760009765625
47.25,-81.0,5.130096435546875
47.25,-74.75,5.56939697265625
47.25,-74.5,5.62786865234375
47.25,-74.25,5.318695068359375
47.25,-74.0,5.53265380859375
47.25,-73.75,5.98980712890625
47.25,-73.5,6.08831787109375
47.25,-73.25,5.7716064453125
47.25,-73.0,5.820343017578125
47.25,-72.75,5.322998046875
47.25,-72.5,5.48370361328125
47.25,-72.25,5.81494140625
47.25,-72.0,5.62017822265625
47.25,-71.75,5.31170654296875
47.25,-71.5,5.81219482421875
47.25,-71.25,6.203643798828125
47.25,-71.0,5.454437255859375
47.25,-70.75,5.00439453125
47.25,-70.25,5.3218994140625
47.25,-70.0,5.36419677734375
47.25,-69.75,6.187103271484375
47.25,-69.5,5.66455078125
47.25,-69.25,6.292510986328125
47.25,-69.0,5.60479736328125
47.25,-68.75,5.893218994140625
47.25,-68.5,5.534332275390625
47.25,-68.25,5.210601806640625
47.25,-68.0,5.273040771484375
47.25,-67.75,5.01678466796875
47.25,-67.5,5.0528564453125
47.25,-67.25,5.544158935546875
47.25,-67.0,5.909912109375
47.0,-124.0,-5.612152099609375
47.0,-123.75,-7.332000732421875
47.0,-123.5,-6.702392578125
47.0,-123.25,-7.500152587890625
47.0,-123.0,-6.82135009765625
47.0,-122.75,-5.8580322265625
47.0,-122.5,-5.51702880859375
